country,node,bus,carrier
KG,KG,KG_LIGN,Lig
KG,KG,KG_BITN,Bit
KG,KG,KG_HRDCN,Hrdc
KG,KG,KG_OILN,Oil
KG,KG,KG_GASN,Gas
KG,KG,KG_LNGN,Lng
KG,KG,KG_BION,Bio
KG,KG,KG_ATMP,CO2
KG,KG,KG_HYDN,Hyd
KG,KG,KG_CO2STORN,Co2stor
KG,KG,KG_NUCLN,Uranium
KG,KG_KG,KG_KG_HVELEC,Electricity
KG,KG_KG,KG_KG_LVELEC,Electricity
KG,KG_KG,KG_KG_BATSN,Electricity
KG,KG_KG,KG_KG_HHBSN,Electricity
KG,KG_KG,KG_KG_HPHSN,Electricity
KZ,KZ,KZ_LIGN,Lig
KZ,KZ,KZ_BITN,Bit
KZ,KZ,KZ_HRDCN,Hrdc
KZ,KZ,KZ_OILN,Oil
KZ,KZ,KZ_GASN,Gas
KZ,KZ,KZ_LNGN,Lng
KZ,KZ,KZ_BION,Bio
KZ,KZ,KZ_ATMP,CO2
KZ,KZ,KZ_HYDN,Hyd
KZ,KZ,KZ_CO2STORN,Co2stor
KZ,KZ,KZ_NUCLN,Uranium
KZ,KZ_NR,KZ_NR_HVELEC,Electricity
KZ,KZ_NR,KZ_NR_LVELEC,Electricity
KZ,KZ_NR,KZ_NR_BATSN,Electricity
KZ,KZ_NR,KZ_NR_HHBSN,Electricity
KZ,KZ_NR,KZ_NR_HPHSN,Electricity
KZ,KZ_SO,KZ_SO_HVELEC,Electricity
KZ,KZ_SO,KZ_SO_LVELEC,Electricity
KZ,KZ_SO,KZ_SO_BATSN,Electricity
KZ,KZ_SO,KZ_SO_HHBSN,Electricity
KZ,KZ_SO,KZ_SO_HPHSN,Electricity
KZ,KZ_WS,KZ_WS_HVELEC,Electricity
KZ,KZ_WS,KZ_WS_LVELEC,Electricity
KZ,KZ_WS,KZ_WS_BATSN,Electricity
KZ,KZ_WS,KZ_WS_HHBSN,Electricity
KZ,KZ_WS,KZ_WS_HPHSN,Electricity
UZ,UZ,UZ_LIGN,Lig
UZ,UZ,UZ_BITN,Bit
UZ,UZ,UZ_HRDCN,Hrdc
UZ,UZ,UZ_OILN,Oil
UZ,UZ,UZ_GASN,Gas
UZ,UZ,UZ_LNGN,Lng
UZ,UZ,UZ_BION,Bio
UZ,UZ,UZ_ATMP,CO2
UZ,UZ,UZ_HYDN,Hyd
UZ,UZ,UZ_CO2STORN,Co2stor
UZ,UZ,UZ_NUCLN,Uranium
UZ,UZ_UZ,UZ_UZ_HVELEC,Electricity
UZ,UZ_UZ,UZ_UZ_LVELEC,Electricity
UZ,UZ_UZ,UZ_UZ_BATSN,Electricity
UZ,UZ_UZ,UZ_UZ_HHBSN,Electricity
UZ,UZ_UZ,UZ_UZ_HPHSN,Electricity
