country,link,bus0,bus1,carrier,type,efficiency,p_max_pu,p_min_pu,p_nom,p_nom_extendable,cap__usd_mw,fom__usd_mwa,marginal_cost,p_nom_max_2023,p_nom_max_2030,p_nom_max_2035,p_nom_min_2023,p_nom_min_2030,p_nom_min_2035
KG,KG_KG_HVELEC_to_KG_KG_LVELEC,KG_KG_HVELEC,KG_KG_LVELEC,Electricity,ITCN,1,1,0,0,TRUE,0,0,0,0,inf,inf,0,0,0
KZ,KZ_NR_HVELEC_to_KZ_NR_LVELEC,KZ_NR_HVELEC,KZ_NR_LVELEC,Electricity,ITCN,1,1,0,0,TRUE,0,0,0,0,inf,inf,0,0,0
KZ,KZ_NR_HVELEC_to_KZ_SO_HVELEC,KZ_NR_HVELEC,KZ_SO_HVELEC,Electricity,ITCN,1,1,-1,2100,TRUE,759542.4,0,0,0,500,0,0,500,0
KZ,KZ_NR_HVELEC_to_KZ_WS_HVELEC,KZ_NR_HVELEC,KZ_WS_HVELEC,Electricity,ITCN,1,1,-1,0,TRUE,378921.6,0,0,0,500,0,0,500,0
KZ,KZ_NR_HVELEC_to_UZ_UZ_HVELEC,KZ_NR_HVELEC,UZ_UZ_HVELEC,Electricity,ITCN,1,1,-1,0,FALSE,485971.2,0,0,0,0,0,0,0,0
KZ,KZ_SO_HVELEC_to_KG_KG_HVELEC,KZ_SO_HVELEC,KG_KG_HVELEC,Electricity,ITCN,1,1,-1,1395,TRUE,263376,0,0,0,240,0,0,240,0
KZ,KZ_SO_HVELEC_to_KZ_SO_LVELEC,KZ_SO_HVELEC,KZ_SO_LVELEC,Electricity,ITCN,1,1,0,0,TRUE,0,0,0,0,inf,inf,0,0,0
KZ,KZ_SO_HVELEC_to_UZ_UZ_HVELEC,KZ_SO_HVELEC,UZ_UZ_HVELEC,Electricity,ITCN,1,1,-1,0,FALSE,849600,0,0,0,0,0,0,0,0
KZ,KZ_WS_HVELEC_to_KZ_WS_LVELEC,KZ_WS_HVELEC,KZ_WS_LVELEC,Electricity,ITCN,1,1,0,0,TRUE,0,0,0,0,inf,inf,0,0,0
KZ,KZ_WS_HVELEC_to_UZ_UZ_HVELEC,KZ_WS_HVELEC,UZ_UZ_HVELEC,Electricity,ITCN,1,1,0,0,FALSE,814766.4,0,0,0,0,0,0,0,0
UZ,UZ_UZ_HVELEC_to_KG_KG_HVELEC,UZ_UZ_HVELEC,KG_KG_HVELEC,Electricity,ITCN,1,1,-1,240,TRUE,672883.2,0,0,0,240,0,0,240,0
UZ,UZ_UZ_HVELEC_to_UZ_UZ_LVELEC,UZ_UZ_HVELEC,UZ_UZ_LVELEC,Electricity,ITCN,1,1,0,0,TRUE,0,0,0,0,inf,inf,0,0,0
KZ,KZ_SO_HVELEC_to_KZ_WS_HVELEC,KZ_SO_HVELEC,KZ_WS_HVELEC,Electricity,ITCN,1,1,0,0,FALSE,1579406.4,0,0,0,0,0,0,0,0
